Serial No,Title,Year,Rating
177,Jodhaa Akbar,(2008),7.6
178,Parmanu: The Story of Pokhran,(2018),7.6
179,Dil Se..,(1998),7.5
180,Kaththi,(2014),7.5
181,Piku,(2015),7.5
182,Devdas,(2002),7.5
183,Thuppakki,(2012),7.5
184,Delhi Belly,(2011),7.5
185,Aankhen,(2002),7.5
186,Raanjhanaa,(2013),7.5
187,Detective Byomkesh Bakshy!,(2015),7.5
188,Qayamat Se Qayamat Tak,(1988),7.5
189,Trapped,(2016),7.5
190,Rocket Singh: Salesman of the Year,(2009),7.5
191,1 - Nenokkadine,(2014),7.5
192,Khakee,(2004),7.5
193,The Ghazi Attack,(2017),7.5
194,Rehnaa Hai Terre Dil Mein,(2001),7.5
195,Hungama,(2003),7.5
196,Amar Akbar Anthony,(1977),7.5
197,Hum Aapke Hain Koun...!,(1994),7.5
198,Hum Dil De Chuke Sanam,(1999),7.5
199,Rangeela,(1995),7.5
200,Socha Na Tha,(2005),7.5
201,Jaane Tu... Ya Jaane Na,(2008),7.5
202,Ghajini,(2005),7.5
203,Madaari,(2016),7.5
204,Jolly LLB,(2013),7.5
205,Dum Laga Ke Haisha,(2015),7.5
206,Ghilli,(2004),7.4
207,October,(2018),7.4
208,Bareilly Ki Barfi,(2017),7.4
209,Shaadi Mein Zaroor Aana,(2017),7.4
210,Chillar Party,(2011),7.4
211,Sivaji,(2007),7.4
212,Hichki,(2018),7.4
213,Geetha Govindam,(2018),7.4
214,Baghban,(2003),7.4
215,Kabhi Khushi Kabhie Gham...,(2001),7.4
216,Kabir Singh,(2019),7.4
217,Badlapur,(2015),7.4
218,Peepli (Live),(2010),7.4
219,Kesari,(2019),7.4
220,Karwaan,(2018),7.4
221,Chachi 420,(1997),7.4
222,Dear Zindagi,(2016),7.4
223,Guzaarish,(2010),7.4
224,Mankatha,(2011),7.4
225,Once Upon a Time in Mumbaai,(2010),7.4
226,Golmaal: Fun Unlimited,(2006),7.4
227,Yuva,(2004),7.4
228,Kaminey,(2009),7.4
229,Life in a Metro,(2007),7.4
230,Monsoon Wedding,(2001),7.4
231,Raid,(2018),7.3
232,Khiladi,(1992),7.3
233,Page 3,(2005),7.3
234,Khaleja,(2010),7.3
235,Ghulam,(1998),7.3
236,Maine Pyar Kiya,(1989),7.3
237,Ghajini,(2008),7.3
238,Raman Raghav 2.0,(2016),7.3
239,Ishqiya,(2010),7.3
240,Lootera,(2013),7.3
241,Bhool Bhulaiyaa,(2007),7.3
242,Srimanthudu,(2015),7.3
243,Bharat Ane Nenu,(2018),7.3
244,Holiday,(2014),7.3
245,Parineeta,(2005),7.3
246,Ayan,(2009),7.3
247,Gold,(2018),7.3
248,Mardaani,(2014),7.3
249,Saajan,(1991),7.2
250,Taxi No. 9 2 11: Nau Do Gyarah,(2006),7.2
